Genome,Deepest_taxonomy,Family_subfamily
SAMN28767274_p2,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN29790235_p3,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN29790269_p2,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN32400338_p1,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN32407788_p1,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN39716327_p2,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN42149892_p1,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN53840715_p2,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN56917198_p2,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN42940244_p1,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN29790272_p4,novel_order_29_of_Caudoviricetes,novel_family_2_of_novel_order_29_of_Caudoviricetes
SAMD01620614_p1,novel_order_30_of_Caudoviricetes,novel_family_0_of_novel_order_30_of_Caudoviricetes
SAMN40717393_p1,novel_order_30_of_Caudoviricetes,novel_family_0_of_novel_order_30_of_Caudoviricetes
SAMN02435867_p5,novel_order_30_of_Caudoviricetes,novel_family_1_of_novel_order_30_of_Caudoviricetes
SAMN07350496_p1,novel_order_30_of_Caudoviricetes,novel_family_1_of_novel_order_30_of_Caudoviricetes
SAMN07367890_p1,novel_order_30_of_Caudoviricetes,novel_family_1_of_novel_order_30_of_Caudoviricetes
SAMN13404277_p1,novel_order_30_of_Caudoviricetes,novel_family_1_of_novel_order_30_of_Caudoviricetes
SAMN14214611_p2,novel_order_30_of_Caudoviricetes,novel_family_1_of_novel_order_30_of_Caudoviricetes
SAMN15646506_p4,novel_order_30_of_Caudoviricetes,novel_family_1_of_novel_order_30_of_Caudoviricetes
SAMN36689554_p3,novel_order_30_of_Caudoviricetes,novel_family_1_of_novel_order_30_of_Caudoviricetes
SAMN38476540_p1,novel_order_30_of_Caudoviricetes,novel_family_1_of_novel_order_30_of_Caudoviricetes
SAMN40160518_p1,novel_order_30_of_Caudoviricetes,novel_family_1_of_novel_order_30_of_Caudoviricetes
SAMN06013679_p1,novel_order_30_of_Caudoviricetes,novel_family_1_of_novel_order_30_of_Caudoviricetes
SAMD00323053_p2,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMEA120785982_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMEA3643325_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMEA4673371_p2,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN00265075_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN02435867_p4,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN02435869_p2,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN06198342_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN06198347_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN07350489_p2,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN08982477_p2,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN08982483_p2,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN10360549_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN10970912_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN12057800_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN12057805_p2,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN12057873_p2,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN12057875_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN12057884_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN12168580_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN12168584_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN12168619_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN12169088_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN12639444_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN12648317_p3,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN13404287_p2,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN13704165_p3,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN13878423_p2,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN14214611_p3,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN14944058_p2,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN15646505_p2,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN16072611_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN18961237_p2,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN29328604_p3,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN33396490_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN36294848_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN36689551_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN36689568_p2,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN36689569_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN37977894_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN38476534_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN39200978_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN39832059_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN39959875_p2,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN40160501_p2,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN40160521_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN40160523_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN42500393_p2,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN49797553_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN55338813_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN56681726_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN05417997_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN02470294_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN13336162_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN12057814_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN12057860_p2,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN32755641_p2,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN03571538_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN04296647_p3,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN12648299_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN40604318_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN40627811_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN33330965_p2,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN12169095_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN04128477_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN53840719_p4,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMEA112157104_p2,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMEA8103015_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN03457164_p3,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN04358136_p3,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN07338022_p2,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN12364847_p3,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN28767271_p4,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN32407638_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN40571841_p2,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN41920674_p6,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN50434722_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN08810063_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN21546519_p1,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN33268487_p2,novel_order_30_of_Caudoviricetes,novel_family_2_of_novel_order_30_of_Caudoviricetes
SAMN02470293_p4,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMD00041797_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMD00169732_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMD00428689_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMEA115017867_p4,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMEA115018494_p6,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMEA115018499_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMEA115018504_p4,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMEA2594004_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN05172613_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN05418054_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN05418135_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN05418219_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN05418222_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN05768151_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN10362073_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN18238003_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN18238058_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN24372623_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN02940923_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN12668361_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN12168575_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN22513949_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN41107815_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN45864672_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMD00046757_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN01923895_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN02368286_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN02368290_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN02741374_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN02741392_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN03996322_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN04320555_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN05302750_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN05860636_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN07337847_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN07337856_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN07338191_p4,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN07338224_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN10880809_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN15206675_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN15597497_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN15667313_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN18298672_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN18298686_p4,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN18298688_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN18298691_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN18298705_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN18298707_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN18298708_p4,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN18298720_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN18298723_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN20805070_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN20982394_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN20982445_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN24245020_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN24777669_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN24777698_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN24907464_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN28495007_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN28495042_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN28495044_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN28495048_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN28495054_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN28495058_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN28767209_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN28767216_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN28767230_p5,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN28767241_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN28767294_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN28767317_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN29790240_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN29790256_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN32218570_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN32406232_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN32406237_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN32406394_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN32407399_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN32407413_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN33548586_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN34128360_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN37830366_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN39105730_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN39962933_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN40560781_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN40566047_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN40566081_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN40571705_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN40573877_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN40584261_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN40584483_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN40584504_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN40717398_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN40717405_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN40891653_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN41079250_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN41079251_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN41920658_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN41920674_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN41920696_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN42940264_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN43405766_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN44286686_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN47772594_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN47931905_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN48484929_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN48588012_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN48588016_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN53840714_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN53906747_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN56518618_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN56917242_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN09208625_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN13049604_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN13404285_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN15763361_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN15763362_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN20805038_p6,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN24593217_p7,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN24593227_p4,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN33268487_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN35298026_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN38736038_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN55333177_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN02708867_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN06013691_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMEA120785988_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN07568193_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN02712353_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN06013688_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN09386759_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN09386781_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN17298298_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN30916812_p4,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN41809252_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN41809262_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN41809272_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN09662877_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN14944065_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN16268043_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN34315296_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN40160509_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN40160524_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN56501506_p2,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN56501511_p3,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
SAMN56681722_p1,novel_order_30_of_Caudoviricetes,novel_family_3_of_novel_order_30_of_Caudoviricetes
