vOTU	holin	endolysin	Rz-like spanin	lysis determining protein
SAMN56917237_p2	0	1	0	0
SAMN05417988_p1	0	0	0	0
SAMN05418228_p1	0	0	0	0
SAMN02470506_p1	0	0	0	0
SAMN05418224_p1	0	0	0	0
SAMN05418239_p1	0	0	0	0
SAMN05418119_p2	0	0	0	0
SAMN05418245_p1	0	0	0	0
SAMN05418143_p2	0	0	0	0
SAMN03104872_p2	0	0	0	0
SAMN42940246_p2	0	0	0	0
SAMN28767305_p2	0	0	0	0
SAMN40604319_p1	0	0	0	0
SAMN15755100_p1	0	0	0	0
SAMN14861780_p3	0	0	0	0
SAMN32407620_p2	0	0	0	0
SAMN02470507_p2	0	0	0	0
SAMN05418089_p1	0	0	0	0
SAMN22346950_p2	0	0	0	0
SAMN06110496_p1	0	0	0	0
SAMN02472128_p1	0	0	0	0
SAMN10362062_p3	0	0	0	0
SAMN05768151_p1	0	0	0	0
SAMN32610147_p3	0	0	0	0
SAMN05418237_p1	0	0	0	0
SAMN53906747_p2	0	0	0	0
SAMN24372623_p1	0	0	0	0
SAMN07338103_p2	0	0	0	0
SAMN35557944_p1	0	0	0	0
SAMN02712353_p6	0	0	0	0
SAMN52217892_p1	0	0	0	0
SAMN18298726_p2	0	0	0	0
SAMN41905203_p2	0	0	0	0
SAMN40627812_p2	0	0	0	0
SAMN28767317_p4	0	0	0	0
SAMN04508217_p2	0	0	0	0
SAMN05860643_p1	0	0	0	0
SAMN18298672_p3	0	0	0	0
SAMN01923895_p2	0	0	0	0
SAMN32218570_p1	0	0	0	0
SAMN05418144_p1	0	0	0	0
SAMN11937831_p4	0	0	0	0
SAMN05172610_p1	0	0	0	0
SAMN41905203_p1	0	0	0	0
SAMN07337847_p2	0	0	0	0
SAMN02368321_p1	0	0	0	0
SAMN39716325_p4	0	0	0	0
SAMEA117551943_p1	0	0	0	0
SAMN44286686_p1	0	0	0	0
SAMN40604373_p1	0	0	0	0
SAMN02470483_p2	0	0	0	0
SAMN09270229_p3	0	0	0	0
SAMN41920674_p3	0	0	0	0
SAMN02368286_p3	0	0	0	0
SAMN40571705_p2	0	0	0	0
SAMN05418042_p1	0	0	0	0
SAMN07338191_p4	0	0	0	0
SAMN39962933_p3	0	0	0	0
SAMN40584504_p2	0	0	0	0
SAMN02741374_p3	0	0	0	0
SAMN20982394_p1	0	0	0	0
SAMN37503413_p3	0	0	0	0
SAMN24907464_p1	0	0	0	0
SAMN12816916_p3	0	0	0	0
SAMN04349756_p1	0	0	0	0
SAMN28495048_p3	0	0	0	0
SAMN42940264_p3	0	0	0	0
SAMN28495037_p2	0	0	0	0
SAMN29790240_p2	0	0	0	0
SAMN10880809_p3	0	0	0	0
SAMN18298672_p1	0	0	0	0
SAMN12648291_p2	0	0	0	0
SAMN40717405_p2	0	0	0	0
SAMN02368266_p3	0	0	0	0
SAMN33548586_p2	0	0	0	0
SAMN03996322_p2	0	0	0	0
SAMN05860636_p1	0	0	0	0
SAMN40584261_p1	0	0	0	0
SAMN41920658_p2	0	0	0	0
SAMN40604358_p1	0	0	0	0
SAMN32405628_p1	0	0	0	0
SAMN28495042_p1	0	0	0	0
SAMN53840710_p3	0	0	0	0
SAMN15597509_p3	0	0	0	0
SAMEA112324418_p1	0	0	0	0
SAMN09742605_p1	0	0	0	0
SAMN05302748_p2	0	0	0	0
SAMN28495011_p1	0	0	0	0
SAMN43825322_p3	0	0	0	0
SAMN05302750_p4	0	0	0	0
SAMN12648253_p1	0	0	0	0
SAMN15567610_p1	0	0	0	0
SAMN10362293_p2	0	0	0	0
SAMN40571837_p3	0	0	0	0
SAMN40584504_p4	0	0	0	0
SAMN40571705_p1	0	0	0	0
SAMN09386766_p2	0	0	0	0
SAMN08329236_p2	0	0	0	0
SAMN04441014_p3	0	0	0	0
SAMN15667309_p4	0	0	0	0
SAMN32411283_p2	0	0	0	0
SAMN28495007_p2	0	0	0	0
SAMN05935531_p1	0	0	0	0
SAMN10362184_p2	0	0	0	0
SAMN08329235_p1	0	0	0	0
SAMN28767216_p1	0	0	0	0
SAMN28494995_p2	0	0	0	0
SAMN02712351_p2	0	0	0	0
SAMN29790269_p4	0	0	0	0
SAMN29790243_p5	0	0	0	0
SAMN40717396_p4	0	0	0	0
SAMN18238040_p3	0	0	0	0
SAMN28767235_p2	0	0	0	0
SAMN16057398_p1	0	0	0	0
SAMN29790255_p3	0	0	0	0
SAMN32407669_p2	0	0	0	0
SAMN05935526_p1	0	0	0	0
SAMN30942188_p3	0	0	0	0
SAMN07338113_p1	0	0	0	0
SAMN40565714_p1	0	0	0	0
SAMN07338200_p2	0	0	0	0
SAMN56917243_p2	0	0	0	0
SAMN12434698_p2	0	0	0	0
SAMN53906728_p2	0	0	0	0
SAMN03795181_p2	0	0	0	0
SAMN32407635_p2	0	0	0	0
SAMN50800684_p3	0	0	0	0
SAMN32411345_p1	0	0	0	0
SAMN15889509_p1	0	0	0	0
SAMN26741749_p3	0	0	0	0
SAMN40571839_p2	0	0	0	0
SAMN15667316_p4	0	0	0	0
SAMN02368283_p1	0	0	0	0
SAMEA112157108_p2	0	0	0	0
SAMN18298731_p3	0	0	0	0
SAMN43405764_p1	0	0	0	0
SAMN18298697_p5	0	0	0	0
SAMN40571794_p1	0	0	0	0
SAMN39716334_p1	0	0	0	0
SAMN06066420_p1	0	0	0	0
SAMN39716322_p1	0	0	0	0
SAMN02910586_p2	0	0	0	0
SAMN02179882_p3	0	0	0	0
SAMN21355259_p1	0	0	0	0
SAMN13500486_p2	0	0	0	0
SAMN32411316_p3	0	0	0	0
SAMN15829766_p2	0	0	0	0
SAMN15667317_p3	0	0	0	0
SAMN20982446_p2	0	0	0	0
SAMN47931894_p3	0	0	0	0
SAMN52852906_p3	0	0	0	0
SAMN24777697_p1	0	0	0	0
SAMN07338026_p1	0	0	0	0
SAMEA112324421_p4	0	0	0	0
SAMN39962933_p7	0	0	0	0
SAMN32299956_p5	0	0	0	0
SAMN06917282_p2	0	0	0	0
SAMN03457164_p4	0	0	0	0
SAMN19769866_p1	0	0	0	0
SAMN32407258_p2	0	0	0	0
SAMN07338047_p2	0	0	0	0
SAMN35346011_p5	0	0	0	0
SAMN40584254_p1	0	0	0	0
SAMN28495007_p3	0	0	0	0
SAMN39105913_p3	0	0	0	0
SAMN32407400_p3	0	0	0	0
SAMN18298722_p1	0	0	0	0
SAMN20805030_p1	0	0	0	0
SAMN07337904_p1	0	0	0	0
SAMN13023392_p3	0	0	0	0
SAMN09694269_p2	0	0	0	0
SAMN05418039_p2	0	0	0	0
SAMEA12312943_p1	0	0	0	0
SAMN40717398_p4	0	0	0	0
SAMN13023393_p2	0	0	0	0
SAMN56518618_p4	0	0	0	0
SAMN39606344_p3	0	0	0	0
SAMEA8103025_p3	0	0	0	0
SAMN29790268_p5	0	0	0	0
SAMN02746033_p1	0	0	0	0
SAMN24777680_p1	0	0	0	0
SAMN13023394_p1	0	0	0	0
SAMN15597501_p2	0	0	0	0
SAMN28767313_p3	0	0	0	0
SAMN04128477_p2	0	0	0	0
SAMN08329238_p2	0	0	0	0
SAMN40697797_p1	0	0	0	0
SAMN08329249_p2	0	0	0	0
SAMN04457467_p3	0	0	0	0
SAMN17298286_p1	0	0	0	0
SAMN26742818_p2	0	0	0	0
SAMN30916801_p1	0	0	0	0
SAMN37256235_p1	0	0	0	0
SAMN03104885_p2	0	0	0	0
SAMN06196908_p1	0	0	0	0
SAMN10360552_p2	0	0	0	0
SAMN12648317_p2	0	0	0	0
SAMN13704149_p1	0	0	0	0
SAMN36689564_p1	0	0	0	0
SAMN40160511_p1	0	0	0	0
SAMN52950331_p1	0	0	0	0
SAMN52950333_p1	0	0	0	0
SAMN56417361_p3	0	0	0	0
SAMD01620614_p1	0	0	0	0
SAMN40717393_p1	0	0	0	0
SAMN18298697_p4	0	0	0	0
SAMN18298707_p4	0	0	0	0
SAMN40560781_p3	0	0	0	0
SAMN40560850_p2	0	0	0	0
SAMN42940256_p3	0	0	0	0
SAMN10362060_p3	0	0	0	0
SAMN33278197_p2	0	0	0	0
SAMN42003083_p1	0	0	0	0
SAMN31656021_p5	0	0	0	0
SAMN52950332_p4	0	0	0	0
SAMN13897687_p1	0	0	0	0
SAMN36689570_p3	0	0	0	0
SAMN06013679_p2	0	0	0	0
SAMEA3443777_p2	0	0	0	0
SAMN05302751_p1	0	0	0	0
SAMN07337969_p1	0	0	0	0
SAMN07338101_p2	0	0	0	0
SAMN09878769_p1	0	0	0	0
SAMN12123413_p2	0	0	0	0
SAMN12671088_p2	0	0	0	0
SAMN28495028_p3	0	0	0	0
SAMN28767221_p7	0	0	0	0
SAMN28767356_p2	0	0	0	0
SAMN28767359_p1	0	0	0	0
SAMN40566039_p1	0	0	0	0
SAMN40891659_p2	0	0	0	0
SAMN41071121_p1	0	0	0	0
SAMN47931894_p1	0	0	0	0
SAMD00428691_p1	0	0	0	0
SAMN12169095_p1	0	0	0	0
SAMN21546519_p1	0	0	0	0
SAMN12168575_p1	0	0	0	0
SAMD00046757_p2	0	0	0	0
SAMN04320555_p3	0	0	0	0
SAMN07337856_p2	0	0	0	0
SAMN07338224_p2	0	0	0	0
SAMN15206675_p3	0	0	0	0
SAMN15597497_p1	0	0	0	0
SAMN15667313_p1	0	0	0	0
SAMN18298686_p4	0	0	0	0
SAMN18298688_p1	0	0	0	0
SAMN18298691_p1	0	0	0	0
SAMN18298708_p4	0	0	0	0
SAMN18298720_p1	0	0	0	0
SAMN20805070_p1	0	0	0	0
SAMN20982445_p1	0	0	0	0
SAMN24245020_p3	0	0	0	0
SAMN24777669_p1	0	0	0	0
SAMN24777698_p2	0	0	0	0
SAMN28495044_p1	0	0	0	0
SAMN28495054_p1	0	0	0	0
SAMN28495058_p1	0	0	0	0
SAMN28767209_p2	0	0	0	0
SAMN28767230_p5	0	0	0	0
SAMN28767241_p2	0	0	0	0
SAMN29790256_p1	0	0	0	0
SAMN32406237_p1	0	0	0	0
SAMN32406394_p3	0	0	0	0
SAMN32407399_p1	0	0	0	0
SAMN32407413_p2	0	0	0	0
SAMN34128360_p1	0	0	0	0
SAMN39105730_p1	0	0	0	0
SAMN40560781_p2	0	0	0	0
SAMN40566081_p2	0	0	0	0
SAMN40573877_p1	0	0	0	0
SAMN40584483_p1	0	0	0	0
SAMN40717398_p3	0	0	0	0
SAMN40891653_p2	0	0	0	0
SAMN41079250_p1	0	0	0	0
SAMN41920696_p1	0	0	0	0
SAMN47772594_p2	0	0	0	0
SAMN47931905_p2	0	0	0	0
SAMN48484929_p2	0	0	0	0
SAMN48588012_p1	0	0	0	0
SAMN48588016_p1	0	0	0	0
SAMN53840714_p3	0	0	0	0
SAMN56518618_p1	0	0	0	0
SAMN56917242_p2	0	0	0	0
SAMN02708867_p1	0	0	0	0
SAMN06013691_p2	0	0	0	0
SAMN02712353_p3	0	0	0	0
SAMN06013688_p2	0	0	0	0
SAMN34315296_p1	0	0	0	0
SAMN40160509_p2	0	0	0	0
SAMN40160524_p1	0	0	0	0
SAMN56501506_p2	0	0	0	0
SAMN56501511_p3	0	0	0	0
SAMN56681722_p1	0	0	0	0
SAMN29939551_p1	0	0	0	0
SAMEA7060543_p1	0	0	0	0
SAMN17214697_p2	0	0	0	0
SAMN28767239_p4	0	0	0	0
SAMN39962933_p5	0	0	0	0
SAMN40584503_p2	0	0	0	0
SAMN44286534_p2	0	0	0	0
SAMN56917242_p1	0	0	0	0
SAMN12288745_p1	0	0	0	0
SAMN14923070_p3	0	0	0	0
SAMEA112324424_p1	0	0	0	0
SAMN35346012_p3	0	0	0	0
SAMN19957698_p1	0	0	0	0
SAMN45916484_p1	0	0	0	0
SAMN12364843_p3	0	0	0	0
SAMN16560730_p3	0	0	0	0
SAMN28495056_p3	0	0	0	0
SAMN39716348_p1	0	0	0	0
SAMN05418043_p6	0	0	0	0
SAMN10688326_p2	0	0	0	0
SAMN12668393_p3	0	0	0	0
SAMN02252525_p1	0	0	0	0
SAMN10334306_p2	0	0	0	0
SAMN41842413_p1	0	0	0	0
SAMN53317748_p2	0	0	0	0
SAMN12648298_p3	0	0	0	0
SAMN16844329_p1	0	0	0	0
SAMN05418043_p5	0	0	0	0
SAMN02603672_p1	0	0	0	0
SAMN02603955_p2	0	0	0	0
SAMN44286666_p1	0	0	0	0
SAMEA8103032_p3	0	0	0	0
SAMN02368280_p2	0	0	0	0
SAMN02471131_p2	0	0	0	0
SAMN03452290_p2	0	0	0	0
SAMN04523674_p2	0	0	0	0
SAMN07338202_p5	0	0	0	0
SAMN09742665_p1	0	0	0	0
SAMN11547079_p2	0	0	0	0
SAMN24777688_p3	0	0	0	0
SAMN28495058_p3	0	0	0	0
SAMN28767253_p4	0	0	0	0
SAMN29328586_p2	0	0	0	0
SAMN32406563_p3	0	0	0	0
SAMN33330974_p4	0	0	0	0
SAMN53839611_p3	0	0	0	0
SAMN53840712_p3	0	0	0	0
SAMN07337872_p3	0	0	0	0
SAMN07338045_p2	0	0	0	0
SAMN48586871_p1	0	0	0	0
SAMN48586871_p3	0	0	0	0
SAMN03323919_p1	0	0	0	0
SAMN31656038_p4	0	0	0	0
SAMN31841003_p3	0	0	0	0
SAMN12668393_p1	0	0	0	0
SAMN06105395_p1	0	0	0	0
SAMN06105395_p3	0	0	0	0
