vOTU	species_count	species_list	species_count_robust	species_list_robust	phage_count	spacer_count	host_count	checkv_quality
SAMN56417361_p3	3	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus	2	Vibrio cholerae;Vibrio metoecus	6	56	42	High-quality
SAMN48586876_p3	3	Vibrio cholerae;Vibrio fluvialis;Vibrio navarrensis	2	Vibrio cholerae;Vibrio fluvialis	1	52	45	High-quality
SAMN10362064_p3	3	Vibrio cholerae;Vibrio harveyi;Vibrio navarrensis	1	Vibrio harveyi	2	8	4	Medium-quality
SAMN10360552_p2	3	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus	2	Vibrio cholerae;Vibrio metoecus	8	65	50	High-quality
SAMN06013680_p3	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	0		2	3	3	High-quality
SAMN06013686_p1	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	1	Vibrio navarrensis	1	6	6	High-quality
SAMN26741402_p1	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	2	37	16	Complete
SAMN40604319_p1	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	2	Vibrio navarrensis;Vibrio vulnificus	6	10	7	Complete
SAMN07338223_p1	3	Vibrio fluvialis;Vibrio parahaemolyticus;Vibrio vulnificus	3	Vibrio fluvialis;Vibrio parahaemolyticus;Vibrio vulnificus	1	9	7	Medium-quality
SAMN15755100_p1	3	Vibrio fluvialis;Vibrio parahaemolyticus;Vibrio vulnificus	2	Vibrio parahaemolyticus;Vibrio vulnificus	1	7	6	Medium-quality
SAMN52217892_p1	3	Vibrio fluvialis;Vibrio parahaemolyticus;Vibrio vulnificus	3	Vibrio fluvialis;Vibrio parahaemolyticus;Vibrio vulnificus	1	11	10	Medium-quality
SAMN13404287_p1	3	Vibrio cholerae;Vibrio paracholerae;Vibrio vulnificus	2	Vibrio cholerae;Vibrio paracholerae	1	44	33	Medium-quality
SAMN50800691_p1	3	Vibrio cholerae;Vibrio navarrensis;Vibrio parahaemolyticus	3	Vibrio cholerae;Vibrio navarrensis;Vibrio parahaemolyticus	1	14	10	High-quality
SAMN40604358_p1	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	1	17	13	High-quality
SAMN12288745_p1	3	Vibrio cholerae;Vibrio mimicus;Vibrio paracholerae	2	Vibrio cholerae;Vibrio paracholerae	2	159	103	Medium-quality
SAMN12648317_p2	3	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus	2	Vibrio cholerae;Vibrio metoecus	13	66	49	Medium-quality
SAMN08329236_p2	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	9	12	9	High-quality
SAMN24593215_p1	3	Vibrio fluvialis;Vibrio navarrensis;Vibrio vulnificus	1	Vibrio fluvialis	1	6	5	High-quality
SAMN30916803_p1	3	Vibrio cholerae;Vibrio metoecus;Vibrio vulnificus	3	Vibrio cholerae;Vibrio metoecus;Vibrio vulnificus	3	19	15	Complete
SAMN10436686_p1	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	2	19	13	High-quality
SAMN26741749_p3	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	1	13	10	High-quality
SAMN47871284_p2	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	2	Vibrio cholerae;Vibrio navarrensis	47	8	8	High-quality
SAMN16057398_p1	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	1	19	13	High-quality
SAMN03571538_p2	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	5	26	16	High-quality
SAMN42940246_p2	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	2	Vibrio cholerae;Vibrio vulnificus	1	14	11	High-quality
SAMN06013679_p1	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	1	14	9	High-quality
SAMN00989304_p3	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	51	695	263	High-quality
SAMN42940264_p2	2	Vibrio navarrensis;Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	2	28	15	High-quality
SAMN33330974_p4	2	Vibrio cholerae;Vibrio harveyi	2	Vibrio cholerae;Vibrio harveyi	5	19	5	High-quality
SAMN47931905_p1	2	Vibrio navarrensis;Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	28	15	High-quality
SAMN45047349_p1	2	Vibrio navarrensis;Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	2	15	15	High-quality
SAMN48588026_p3	2	Vibrio navarrensis;Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	28	15	High-quality
SAMN40575456_p1	2	Vibrio navarrensis;Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	3	28	15	High-quality
SAMN40604318_p1	2	Vibrio navarrensis;Vibrio vulnificus	0		7	2	2	High-quality
SAMN32407400_p3	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	1	5	3	High-quality
SAMN33268487_p1	2	Vibrio cholerae;Vibrio metoecus	2	Vibrio cholerae;Vibrio metoecus	5	5	5	High-quality
SAMN07338114_p2	2	Vibrio navarrensis;Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	15	15	High-quality
SAMN10601626_p1	2	Vibrio navarrensis;Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	17	15	High-quality
SAMN18298706_p3	2	Vibrio navarrensis;Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	14	14	High-quality
SAMN39716348_p1	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	2	11	3	Medium-quality
SAMN18298680_p2	2	Vibrio navarrensis;Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	15	15	High-quality
SAMN18298716_p2	2	Vibrio navarrensis;Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	28	15	High-quality
SAMN32407620_p2	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	1	3	3	Medium-quality
SAMN07739081_p3	2	Vibrio cholerae;Vibrio vulnificus	2	Vibrio cholerae;Vibrio vulnificus	1	11	8	High-quality
SAMN13500487_p2	2	Vibrio cholerae;Vibrio navarrensis	1	Vibrio cholerae	3	13	8	Medium-quality
SAMN20982446_p2	2	Vibrio cholerae;Vibrio harveyi	2	Vibrio cholerae;Vibrio harveyi	1	5	5	High-quality
SAMN47436111_p2	2	Vibrio harveyi;Vibrio parahaemolyticus	1	Vibrio harveyi	2	7	4	Medium-quality
SAMN12648281_p1	2	Vibrio cholerae;Vibrio parahaemolyticus	2	Vibrio cholerae;Vibrio parahaemolyticus	1	15	9	High-quality
SAMN20805042_p1	2	Vibrio fluvialis;Vibrio navarrensis	1	Vibrio fluvialis	1	54	42	High-quality
SAMN18298672_p3	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	1	3	3	High-quality
SAMN28495058_p3	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	2	11	3	Complete
SAMN33423629_p1	2	Vibrio cholerae;Vibrio fluvialis	2	Vibrio cholerae;Vibrio fluvialis	2	43	24	Complete
SAMN12648294_p1	2	Vibrio cholerae;Vibrio metoecus	2	Vibrio cholerae;Vibrio metoecus	1	5	5	High-quality
SAMN11547079_p2	2	Vibrio cholerae;Vibrio harveyi	2	Vibrio cholerae;Vibrio harveyi	66	13	5	High-quality
SAMN48586876_p5	2	Vibrio cholerae;Vibrio navarrensis	2	Vibrio cholerae;Vibrio navarrensis	1	24	22	Complete
SAMN03178171_p4	2	Vibrio cholerae;Vibrio paracholerae	2	Vibrio cholerae;Vibrio paracholerae	1	9	8	Medium-quality
SAMN13023390_p2	2	Vibrio cholerae;Vibrio paracholerae	2	Vibrio cholerae;Vibrio paracholerae	1	9	9	High-quality
SAMN18385663_p2	2	Vibrio navarrensis;Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	10	28	15	High-quality
SAMN35628445_p1	2	Vibrio navarrensis;Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	15	15	High-quality
SAMN11937831_p4	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	4	3	3	Medium-quality
SAMN15567610_p1	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	2	5	3	High-quality
SAMN40574011_p2	2	Vibrio navarrensis;Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	15	15	High-quality
SAMN29328586_p2	2	Vibrio cholerae;Vibrio harveyi	2	Vibrio cholerae;Vibrio harveyi	3	14	4	High-quality
SAMN06066420_p1	2	Vibrio cholerae;Vibrio harveyi	2	Vibrio cholerae;Vibrio harveyi	3	5	5	High-quality
SAMN20805043_p6	2	Vibrio cholerae;Vibrio metoecus	2	Vibrio cholerae;Vibrio metoecus	1	5	5	High-quality
SAMN40571798_p2	2	Vibrio navarrensis;Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	27	14	High-quality
SAMN15646532_p2	2	Vibrio cholerae;Vibrio mimicus	1	Vibrio cholerae	4	33	27	Medium-quality
SAMN28672590_p4	2	Vibrio cholerae;Vibrio metoecus	2	Vibrio cholerae;Vibrio metoecus	3	5	5	Medium-quality
SAMN28495051_p1	2	Vibrio navarrensis;Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	27	14	High-quality
SAMN20805048_p1	2	Vibrio cholerae;Vibrio fluvialis	2	Vibrio cholerae;Vibrio fluvialis	1	60	36	High-quality
SAMN24907466_p1	2	Vibrio navarrensis;Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	27	14	High-quality
SAMN34999117_p1	2	Vibrio cholerae;Vibrio navarrensis	1	Vibrio cholerae	5	10	6	High-quality
SAMN07338168_p1	2	Vibrio navarrensis;Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	27	14	High-quality
SAMN15667316_p4	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	1	3	3	High-quality
SAMN53906729_p2	2	Vibrio cholerae;Vibrio parahaemolyticus	1	Vibrio cholerae	2	6	6	Complete
SAMN40891661_p2	2	Vibrio navarrensis;Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	27	14	High-quality
SAMN15829766_p2	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	3	3	3	High-quality
SAMN12648275_p3	2	Vibrio cholerae;Vibrio metoecus	2	Vibrio cholerae;Vibrio metoecus	2	5	5	Medium-quality
SAMN45916484_p1	2	Vibrio fluvialis;Vibrio paracholerae	2	Vibrio fluvialis;Vibrio paracholerae	2	5	5	Complete
SAMN20804979_p1	2	Vibrio fluvialis;Vibrio furnissii	1	Vibrio fluvialis	1	51	30	Complete
SAMN12648291_p2	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	1	3	3	High-quality
SAMN04457467_p3	2	Vibrio cholerae;Vibrio navarrensis	2	Vibrio cholerae;Vibrio navarrensis	1	5	5	High-quality
SAMN28495032_p1	2	Vibrio navarrensis;Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	29	15	High-quality
SAMN06110496_p1	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	1	7	3	Medium-quality
SAMN06917282_p2	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	2	3	3	Complete
SAMN32406563_p3	2	Vibrio cholerae;Vibrio harveyi	2	Vibrio cholerae;Vibrio harveyi	1	11	5	Medium-quality
SAMN02912085_p1	2	Vibrio navarrensis;Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	5	5	High-quality
SAMN03470190_p2	2	Vibrio cholerae;Vibrio metoecus	2	Vibrio cholerae;Vibrio metoecus	1	7	7	Medium-quality
SAMN26742818_p2	2	Vibrio cholerae;Vibrio parahaemolyticus	1	Vibrio cholerae	2	4	4	Medium-quality
SAMN07338202_p5	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	1	11	3	Medium-quality
SAMN20805044_p5	2	Vibrio fluvialis;Vibrio furnissii	1	Vibrio fluvialis	1	14	10	High-quality
SAMN17298298_p1	2	Vibrio cholerae;Vibrio navarrensis	0		1	2	2	Medium-quality
SAMN09386781_p2	2	Vibrio cholerae;Vibrio navarrensis	0		1	2	2	Medium-quality
SAMN06013691_p2	2	Vibrio cholerae;Vibrio navarrensis	0		1	2	2	Medium-quality
SAMN53839611_p3	2	Vibrio cholerae;Vibrio harveyi	2	Vibrio cholerae;Vibrio harveyi	6	15	5	Medium-quality
SAMN13023394_p1	2	Vibrio azureus;Vibrio cholerae	1	Vibrio cholerae	1	12	3	High-quality
SAMN02708867_p2	2	Vibrio cholerae;Vibrio navarrensis	1	Vibrio navarrensis	1	3	3	High-quality
SAMN06184571_p1	2	Vibrio cholerae;Vibrio navarrensis	0		1	2	2	High-quality
SAMN12168575_p1	2	Vibrio cholerae;Vibrio metoecus	2	Vibrio cholerae;Vibrio metoecus	1	98	75	Medium-quality
SAMN07337904_p1	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	1	3	3	High-quality
SAMN52950331_p1	2	Vibrio cholerae;Vibrio metoecus	2	Vibrio cholerae;Vibrio metoecus	1	43	32	High-quality
SAMN40160511_p1	2	Vibrio cholerae;Vibrio metoecus	2	Vibrio cholerae;Vibrio metoecus	4	42	34	High-quality
SAMN13704149_p1	2	Vibrio cholerae;Vibrio metoecus	2	Vibrio cholerae;Vibrio metoecus	1	37	26	High-quality
SAMEA115018381_p2	2	Vibrio cholerae;Vibrio navarrensis	1	Vibrio navarrensis	2	11	8	Medium-quality
SAMN06013685_p1	2	Vibrio cholerae;Vibrio navarrensis	2	Vibrio cholerae;Vibrio navarrensis	2	13	9	High-quality
SAMN12648299_p1	2	Vibrio navarrensis;Vibrio vulnificus	1	Vibrio navarrensis	1	19	11	High-quality
SAMN16560730_p3	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	1	13	3	Medium-quality
SAMN44731497_p1	2	Vibrio navarrensis;Vibrio vulnificus	1	Vibrio vulnificus	2	12	8	Complete
SAMN32299956_p5	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	4	3	3	Complete
SAMN40019047_p3	2	Vibrio cholerae;Vibrio navarrensis	2	Vibrio cholerae;Vibrio navarrensis	1	35	26	Medium-quality
SAMN40717396_p4	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	1	5	3	High-quality
SAMN04296643_p2	2	Vibrio navarrensis;Vibrio vulnificus	1	Vibrio navarrensis	2	7	6	Complete
SAMN42940265_p3	2	Vibrio cholerae;Vibrio navarrensis	1	Vibrio cholerae	1	7	5	Complete
SAMN42940266_p2	2	Vibrio cholerae;Vibrio navarrensis	1	Vibrio cholerae	2	3	3	Complete
SAMN39715769_p4	2	Vibrio navarrensis;Vibrio vulnificus	2	Vibrio navarrensis;Vibrio vulnificus	8	11	6	Medium-quality
SAMN03104885_p2	2	Vibrio cholerae;Vibrio metoecus	2	Vibrio cholerae;Vibrio metoecus	11	51	39	High-quality
SAMN02746033_p1	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	1	9	3	High-quality
SAMN24777688_p3	2	Vibrio cholerae;Vibrio harveyi	2	Vibrio cholerae;Vibrio harveyi	3	17	5	High-quality
SAMN03452290_p2	2	Vibrio cholerae;Vibrio harveyi	2	Vibrio cholerae;Vibrio harveyi	1	12	4	Medium-quality
SAMEA112157108_p2	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	2	3	3	High-quality
SAMEA112324418_p1	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	1	3	3	High-quality
SAMN02368283_p1	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	2	5	3	Medium-quality
SAMN40571795_p2	2	Vibrio harveyi;Vibrio vulnificus	2	Vibrio harveyi;Vibrio vulnificus	1	6	6	Complete
SAMN40453158_p1	2	Vibrio navarrensis;Vibrio vulnificus	2	Vibrio navarrensis;Vibrio vulnificus	2	14	10	Complete
SAMN09742665_p1	2	Vibrio cholerae;Vibrio harveyi	2	Vibrio cholerae;Vibrio harveyi	6	15	5	Medium-quality
SAMN02712351_p2	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	1	3	3	High-quality
SAMEA8103025_p3	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	3	9	3	High-quality
SAMEA112324421_p4	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	2	3	3	High-quality
SAMN03457164_p4	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	1	5	3	High-quality
SAMN04441014_p3	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	1	3	3	High-quality
SAMN39716325_p4	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	1	3	3	High-quality
SAMN40565714_p1	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	1	3	3	High-quality
SAMN12364843_p3	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	2	9	3	High-quality
SAMN56518618_p4	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	3	3	3	Medium-quality
SAMN32300845_p2	2	Vibrio alginolyticus;Vibrio parahaemolyticus	2	Vibrio alginolyticus;Vibrio parahaemolyticus	1	8	8	Medium-quality
SAMN39716331_p1	2	Vibrio alginolyticus;Vibrio parahaemolyticus	2	Vibrio alginolyticus;Vibrio parahaemolyticus	4	22	20	Medium-quality
SAMN56917243_p2	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	1	5	3	High-quality
SAMN12645948_p1	2	Vibrio alginolyticus;Vibrio parahaemolyticus	2	Vibrio alginolyticus;Vibrio parahaemolyticus	7	16	16	High-quality
SAMN55333169_p2	2	Vibrio alginolyticus;Vibrio parahaemolyticus	2	Vibrio alginolyticus;Vibrio parahaemolyticus	19	20	20	Medium-quality
SAMN32300851_p2	2	Vibrio alginolyticus;Vibrio parahaemolyticus	2	Vibrio alginolyticus;Vibrio parahaemolyticus	11	20	19	Medium-quality
SAMN02708867_p1	2	Vibrio cholerae;Vibrio navarrensis	2	Vibrio cholerae;Vibrio navarrensis	1	14	14	Medium-quality
SAMN09878947_p3	2	Vibrio alginolyticus;Vibrio parahaemolyticus	2	Vibrio alginolyticus;Vibrio parahaemolyticus	4	17	17	Medium-quality
SAMN29790255_p3	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	1	5	3	Medium-quality
SAMN18298697_p5	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	1	3	3	High-quality
SAMN06196908_p1	2	Vibrio cholerae;Vibrio metoecus	2	Vibrio cholerae;Vibrio metoecus	2	53	41	Medium-quality
SAMEA12312943_p1	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	1	5	3	High-quality
SAMN53840730_p1	2	Vibrio cholerae;Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	2	19	8	High-quality
SAMN02368280_p2	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	2	11	3	High-quality
SAMN28495056_p3	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	1	13	3	Medium-quality
SAMN24777680_p1	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	2	11	3	High-quality
SAMN29790268_p5	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	1	11	3	High-quality
SAMN39105730_p2	2	Vibrio cholerae;Vibrio parahaemolyticus	2	Vibrio cholerae;Vibrio parahaemolyticus	1	13	9	Complete
SAMN36689564_p1	2	Vibrio cholerae;Vibrio metoecus	2	Vibrio cholerae;Vibrio metoecus	20	71	52	Medium-quality
SAMN40697797_p1	2	Vibrio alginolyticus;Vibrio parahaemolyticus	1	Vibrio alginolyticus	2	3	3	Medium-quality
SAMN53840712_p3	2	Vibrio cholerae;Vibrio harveyi	2	Vibrio cholerae;Vibrio harveyi	1	11	5	Complete
SAMN37260050_p3	2	Vibrio alginolyticus;Vibrio parahaemolyticus	1	Vibrio alginolyticus	2	3	3	Medium-quality
SAMN41079253_p1	2	Vibrio navarrensis;Vibrio vulnificus	1	Vibrio navarrensis	4	6	4	High-quality
SAMN06013679_p2	2	Vibrio cholerae;Vibrio navarrensis	2	Vibrio cholerae;Vibrio navarrensis	1	36	24	High-quality
SAMN02910586_p2	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	10	3	3	High-quality
SAMN08329235_p1	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	8	3	3	High-quality
SAMN09694269_p2	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	9	5	3	High-quality
SAMN04508217_p2	2	Vibrio cholerae;Vibrio paracholerae	1	Vibrio cholerae	9	3	3	High-quality
SAMN10362062_p3	2	Vibrio cholerae;Vibrio paracholerae	1	Vibrio cholerae	1	3	3	High-quality
SAMN53906728_p2	2	Vibrio cholerae;Vibrio vulnificus	1	Vibrio cholerae	2	8	5	Complete
SAMN09737247_p1	2	Vibrio cholerae;Vibrio navarrensis	2	Vibrio cholerae;Vibrio navarrensis	7	22	13	Complete
SAMN52950333_p1	2	Vibrio cholerae;Vibrio metoecus	2	Vibrio cholerae;Vibrio metoecus	4	61	46	High-quality
SAMN04523674_p2	2	Vibrio cholerae;Vibrio harveyi	1	Vibrio harveyi	1	7	3	Medium-quality
SAMN06115650_p1	1	Vibrio cholerae	1	Vibrio cholerae	1	2	2	High-quality
SAMN09537147_p1	1	Vibrio cholerae	1	Vibrio cholerae	2	2	2	High-quality
SAMN10362293_p2	1	Vibrio cholerae	1	Vibrio cholerae	1	2	2	High-quality
SAMN22346950_p2	1	Vibrio cholerae	1	Vibrio cholerae	1	2	2	High-quality
SAMN10362347_p1	1	Vibrio cholerae	1	Vibrio cholerae	1	2	2	High-quality
SAMN05418143_p2	1	Vibrio cholerae	1	Vibrio cholerae	3	2	2	Medium-quality
SAMN33237140_p2	1	Vibrio cholerae	1	Vibrio cholerae	1	2	2	High-quality
SAMN02470506_p1	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN02393817_p1	1	Vibrio cholerae	1	Vibrio cholerae	2	4	4	High-quality
SAMN03996261_p2	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN03996261_p3	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN05418228_p1	1	Vibrio cholerae	1	Vibrio cholerae	1	3	3	High-quality
SAMN06209376_p2	1	Vibrio cholerae	0		1	1	1	Complete
SAMN07338047_p2	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN07338113_p1	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN09208625_p2	1	Vibrio cholerae	0		2	1	1	High-quality
SAMN09355280_p1	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN43825322_p3	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN07337872_p3	1	Vibrio cholerae	0		6	1	1	High-quality
SAMN50800672_p2	1	Vibrio cholerae	0		2	1	1	High-quality
SAMN56917247_p1	1	Vibrio cholerae	0		2	1	1	High-quality
SAMD00178443_p1	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN24372625_p1	1	Vibrio cholerae	1	Vibrio cholerae	2	2	2	High-quality
SAMN18298722_p1	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN19769866_p1	1	Vibrio cholerae	0		2	1	1	High-quality
SAMN19957696_p3	1	Vibrio cholerae	0		1	1	1	Medium-quality
SAMN24907466_p3	1	Vibrio cholerae	0		2	1	1	Medium-quality
SAMN28495016_p5	1	Vibrio cholerae	0		2	1	1	High-quality
SAMN29790269_p4	1	Vibrio cholerae	0		2	1	1	High-quality
SAMN30308487_p1	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN32407258_p2	1	Vibrio cholerae	0		3	1	1	High-quality
SAMN39606344_p3	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN05418182_p1	1	Vibrio cholerae	0		1	1	1	Medium-quality
SAMN07338200_p2	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN09742605_p1	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN10362062_p1	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN10362072_p1	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN11998571_p3	1	Vibrio cholerae	0		1	1	1	Medium-quality
SAMN02252525_p1	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN35557944_p1	1	Vibrio harveyi	1	Vibrio harveyi	1	2	2	High-quality
SAMN32407635_p2	1	Vibrio harveyi	1	Vibrio harveyi	2	2	2	High-quality
SAMN04296647_p3	1	Vibrio navarrensis	1	Vibrio navarrensis	1	17	11	Medium-quality
SAMN40584504_p4	1	Vibrio harveyi	1	Vibrio harveyi	1	4	2	Complete
SAMN33423629_p2	1	Vibrio cholerae	1	Vibrio cholerae	1	4	4	High-quality
SAMEA115015365_p2	1	Vibrio harveyi	0		3	1	1	High-quality
SAMN47436111_p1	1	Vibrio vulnificus	0		1	1	1	Medium-quality
SAMN40571708_p2	1	Vibrio fluvialis	1	Vibrio fluvialis	1	5	4	High-quality
SAMN35557946_p2	1	Vibrio parahaemolyticus	0		9	1	1	High-quality
SAMN48588251_p2	1	Vibrio parahaemolyticus	0		1	1	1	Medium-quality
SAMN40584520_p1	1	Vibrio parahaemolyticus	0		1	1	1	High-quality
SAMN20805033_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	2	26	13	Medium-quality
SAMN28767225_p2	1	Vibrio parahaemolyticus	0		3	1	1	Medium-quality
SAMN40584504_p1	1	Vibrio parahaemolyticus	0		1	1	1	Medium-quality
SAMN08329233_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	2	3	2	High-quality
SAMN11522370_p1	1	Vibrio cholerae	0		1	2	1	High-quality
SAMN30916812_p4	1	Vibrio vulnificus	0		2	1	1	Medium-quality
SAMN28767294_p3	1	Vibrio navarrensis	0		1	1	1	Medium-quality
SAMN28767216_p1	1	Vibrio navarrensis	0		1	1	1	Medium-quality
SAMN28495048_p3	1	Vibrio navarrensis	0		1	1	1	High-quality
SAMN28495042_p1	1	Vibrio navarrensis	0		1	1	1	Medium-quality
SAMN18298672_p1	1	Vibrio navarrensis	0		1	1	1	Medium-quality
SAMN10880809_p3	1	Vibrio navarrensis	0		1	1	1	Medium-quality
SAMN28495016_p2	1	Vibrio parahaemolyticus	0		1	1	1	Medium-quality
SAMN12816916_p2	1	Vibrio vulnificus	0		1	1	1	High-quality
SAMN09386759_p3	1	Vibrio vulnificus	0		1	1	1	Medium-quality
SAMN03571538_p3	1	Vibrio vulnificus	0		1	1	1	High-quality
SAMN41809262_p2	1	Vibrio vulnificus	0		1	1	1	Medium-quality
SAMN41809252_p3	1	Vibrio vulnificus	0		1	1	1	Medium-quality
SAMN20805065_p2	1	Vibrio cholerae	1	Vibrio cholerae	1	9	6	Complete
SAMEA12312942_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	4	2	Medium-quality
SAMN02712353_p3	1	Vibrio harveyi	1	Vibrio harveyi	1	2	2	Medium-quality
SAMN02471131_p2	1	Vibrio harveyi	1	Vibrio harveyi	1	12	2	Complete
SAMEA8103032_p3	1	Vibrio harveyi	1	Vibrio harveyi	3	10	2	Complete
